                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3957,                 5.5594,                 2.0617,                 2.5209,                0.10988,                0.10347,                0.06523,                0.01801,                0.06937,                0.06533,                0.03896,                0.00974,                      0,                      0,                    inf,                      0,               0.070037,              0.0033292,              0.0033292
                      1,                  3.395,                 4.6542,                 1.5183,                 1.7954,                0.24947,                0.21713,                 0.2062,                0.07276,                0.23676,                0.15202,                0.14579,                0.03982,                      0,                      0,                    inf,                      0,               0.039817,              0.0064427,              0.0064427
                      2,                 3.0272,                  4.404,                 1.3669,                 1.6426,                0.55112,                0.16018,                0.22606,                0.09501,                0.51364,                0.12298,                0.16488,                0.05044,                      0,                      0,                    inf,                      0,              0.0093771,              0.0093362,              0.0093362
                      3,                 2.7447,                 4.1732,                 1.2476,                 1.5251,                0.60091,                0.37377,                0.47878,                0.23102,                0.54629,                0.30656,                0.39532,                0.14628,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      4,                 2.5686,                 3.9719,                 1.1733,                 1.4655,                0.61793,                0.38855,                0.49791,                0.25074,                0.53982,                0.32197,                0.39612,                0.13848,                      0,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      5,                 2.4204,                 3.7837,                   1.11,                 1.4265,                0.66489,                0.40535,                0.52568,                 0.2703,                0.61241,                0.35535,                0.45088,                0.17095,                      0,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                      6,                 2.3453,                 3.6785,                 1.0688,                 1.3881,                0.67519,                0.42163,                0.53927,                0.26706,                0.62329,                 0.3764,                0.46448,                0.16954,                      0,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                      7,                 2.2788,                  3.591,                 1.0376,                 1.3632,                0.69848,                0.43612,                 0.5576,                0.29196,                0.66338,                0.39652,                 0.4986,                 0.1975,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      8,                 2.2182,                  3.484,                 1.0118,                 1.3485,                0.70197,                0.44136,                 0.5632,                0.29802,                0.67732,                0.40808,                 0.5128,                0.20813,                      0,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                      9,                 2.1669,                 3.4104,                0.98687,                 1.3273,                0.70172,                0.44039,                0.56143,                0.30324,                0.67523,                0.40868,                0.51229,                0.21102,                      0,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     10,                 2.1392,                 3.3668,                0.97075,                 1.3141,                0.73441,                0.46137,                0.58618,                0.32029,                0.70854,                0.42611,                0.53533,                0.22483,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     11,                 2.1142,                 3.3335,                0.95763,                 1.3018,                0.75725,                0.46943,                0.59785,                0.33039,                0.73771,                0.44111,                 0.5592,                0.24554,                      0,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.0806,                 3.2593,                0.94561,                 1.2974,                0.75231,                0.46768,                0.59577,                0.32912,                0.72818,                0.43606,                0.54883,                0.23564,                      0,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                     13,                 2.0459,                 3.2125,                0.92928,                 1.2829,                0.76588,                0.47459,                0.60406,                 0.3344,                0.73602,                0.44241,                0.55273,                0.23477,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     14,                  2.033,                  3.191,                0.92603,                 1.2867,                0.76593,                0.47368,                0.60369,                0.33585,                0.74054,                0.44366,                0.55696,                0.23926,                      0,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                     15,                 2.0209,                 3.1621,                0.91518,                 1.2737,                0.76586,                0.47384,                0.60358,                0.33589,                0.74046,                0.44488,                0.55531,                0.23745,                      0,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                     16,                 1.9888,                 3.1258,                0.90178,                 1.2645,                0.76095,                  0.472,                0.60124,                0.33461,                0.73729,                  0.445,                 0.5571,                0.23942,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     17,                 1.9709,                 3.0984,                 0.8933,                 1.2571,                0.77033,                0.47792,                0.60708,                0.33954,                0.74649,                0.45332,                0.56375,                0.24614,                      0,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                     18,                  1.971,                 3.0998,                0.89134,                 1.2587,                0.76875,                0.47656,                0.60592,                0.33975,                0.74701,                0.45307,                0.56519,                0.24493,                      0,                      0,                    inf,                      0,                0.00439,                0.00439,                0.00439
                     19,                  1.971,                 3.0784,                0.88529,                 1.2528,                0.78376,                0.48439,                0.61647,                0.34985,                0.76789,                0.46392,                0.58454,                0.26785,                      0,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     20,                 1.8881,                 2.9605,                0.89737,                  1.277,                0.78951,                0.48318,                0.61575,                0.36078,                0.76681,                  0.458,                0.57489,                0.25448,                      0,                      0,                    inf,                      0,                0.00373,                0.00373,                0.00373
                     21,                 1.8641,                 2.9287,                0.88642,                 1.2734,                0.77691,                0.48314,                0.61277,                0.35896,                 0.7562,                0.45997,                0.57576,                0.25611,                      0,                      0,                    inf,                      0,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.8494,                 2.9011,                0.87997,                 1.2718,                0.78711,                0.48477,                0.61685,                0.36291,                0.76532,                0.45914,                 0.5763,                0.25403,                      0,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
